Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
997,0.25,0.119,0.69
998,0.25,0.119,0.66
999,0.25,0.119,0.65
1000,0.25,0.206,0.68
1001,0.3,0.439,0.8
1002,0.52,0.616,1
1003,0.87,0.829,1
1004,0.87,0.986,0.93
1005,0.87,1,0.89
1006,1,0.692,0.85
1007,1,0.384,0.71
1008,1,0.16,0.58
1009,1,0.067,0.45
1010,1,0.067,0.41
1011,1,0.067,0.39
1012,1,0.067,0.38
1013,1,0.187,0.38
1014,1,0.394,0.43
1015,1,0.44,0.54
1016,0.85,0.393,0.65
1017,0.39,0.172,0.66
1018,0.25,0.119,0.67
1019,0.25,0.119,0.69
1020,0.25,0.119,0.7
1021,0.25,0.119,0.69
1022,0.25,0.119,0.66
1023,0.25,0.119,0.65
1024,0.25,0.206,0.68
1025,0.3,0.439,0.8
1026,0.52,0.616,1
1027,0.87,0.829,1
1028,0.87,0.986,0.93
1029,0.87,1,0.89
1030,1,0.692,0.85
1031,1,0.384,0.71
1032,1,0.16,0.58
1033,1,0.067,0.45
1034,1,0.067,0.41
1035,1,0.067,0.39
1036,1,0.067,0.38
1037,1,0.187,0.38
1038,1,0.394,0.43
1039,1,0.44,0.54
1040,0.85,0.393,0.65
1041,0.39,0.172,0.66
1042,0.25,0.119,0.67
1043,0.25,0.119,0.69
1044,0.25,0.119,0.7
1045,0.25,0.119,0.69
1046,0.25,0.119,0.66
1047,0.25,0.119,0.65
1048,0.25,0.206,0.68
1049,0.3,0.439,0.8
1050,0.52,0.616,1
1051,0.87,0.829,1
1052,0.87,0.986,0.93
1053,0.87,1,0.89
1054,1,0.692,0.85
1055,1,0.384,0.71
1056,1,0.16,0.58
1057,1,0.067,0.45
1058,1,0.067,0.41
1059,1,0.067,0.39
1060,1,0.067,0.38
