Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
3065,0.3,0.439,0.8
3066,0.52,0.616,1
3067,0.87,0.829,1
3068,0.87,0.986,0.93
3069,0.87,1,0.89
3070,1,0.692,0.85
3071,1,0.384,0.71
3072,1,0.16,0.58
3073,1,0.067,0.45
3074,1,0.067,0.41
3075,1,0.067,0.39
3076,1,0.067,0.38
3077,1,0.187,0.38
3078,1,0.394,0.43
3079,1,0.44,0.54
3080,0.85,0.393,0.65
3081,0.39,0.172,0.66
3082,0.25,0.119,0.67
3083,0.25,0.119,0.69
3084,0.25,0.119,0.7
3085,0.25,0.119,0.69
3086,0.25,0.119,0.66
3087,0.25,0.119,0.65
3088,0.25,0.206,0.68
3089,0.3,0.439,0.8
3090,0.52,0.616,1
3091,0.87,0.829,1
3092,0.87,0.986,0.93
3093,0.87,1,0.89
3094,1,0.692,0.85
3095,1,0.384,0.71
3096,1,0.16,0.58
3097,1,0.067,0.45
3098,1,0.067,0.41
3099,1,0.067,0.39
3100,1,0.067,0.38
3101,1,0.187,0.38
3102,1,0.394,0.43
3103,1,0.44,0.54
3104,0.85,0.393,0.65
3105,0.39,0.172,0.66
3106,0.25,0.119,0.67
3107,0.25,0.119,0.69
3108,0.25,0.119,0.7
3109,0.25,0.119,0.69
3110,0.25,0.119,0.66
3111,0.25,0.119,0.65
3112,0.25,0.206,0.68
3113,0.3,0.439,0.8
3114,0.52,0.616,1
3115,0.87,0.829,1
3116,0.87,0.986,0.93
3117,0.87,1,0.89
3118,1,0.692,0.85
3119,1,0.384,0.71
3120,1,0.16,0.58
3121,1,0.067,0.45
3122,1,0.067,0.41
3123,1,0.067,0.39
3124,1,0.067,0.38
3125,1,0.187,0.38
3126,1,0.394,0.43
3127,1,0.44,0.54
3128,0.85,0.393,0.65
3129,0.39,0.172,0.66
3130,0.25,0.119,0.67
3131,0.25,0.119,0.69
3132,0.25,0.119,0.7
3133,0.25,0.119,0.69
3134,0.25,0.119,0.66
3135,0.25,0.119,0.65
3136,0.25,0.206,0.68
3137,0.3,0.439,0.8
3138,0.52,0.616,1
3139,0.87,0.829,1
3140,0.87,0.986,0.93
3141,0.87,1,0.89
3142,1,0.692,0.85
3143,1,0.384,0.71
3144,1,0.16,0.58
3145,1,0.067,0.45
3146,1,0.067,0.41
3147,1,0.067,0.39
3148,1,0.067,0.38
3149,1,0.187,0.38
3150,1,0.394,0.43
3151,1,0.44,0.54
3152,0.85,0.393,0.65
3153,0.39,0.172,0.66
3154,0.25,0.119,0.67
3155,0.25,0.119,0.69
3156,0.25,0.119,0.7
3157,0.25,0.119,0.69
3158,0.25,0.119,0.66
3159,0.25,0.119,0.65
3160,0.25,0.206,0.68
3161,0.3,0.439,0.8
3162,0.52,0.616,1
3163,0.87,0.829,1
3164,0.87,0.986,0.93
3165,0.87,1,0.89
3166,1,0.692,0.85
3167,1,0.384,0.71
3168,1,0.16,0.58
3169,1,0.067,0.45
3170,1,0.067,0.41
3171,1,0.067,0.39
3172,1,0.067,0.38
3173,1,0.187,0.38
3174,1,0.394,0.43
3175,1,0.44,0.54
3176,0.85,0.393,0.65
3177,0.39,0.172,0.66
3178,0.25,0.119,0.67
3179,0.25,0.119,0.69
3180,0.25,0.119,0.7
3181,0.25,0.119,0.69
3182,0.25,0.119,0.66
3183,0.25,0.119,0.65
3184,0.25,0.206,0.68
3185,0.3,0.439,0.8
3186,0.52,0.616,1
3187,0.87,0.829,1
3188,0.87,0.986,0.93
3189,0.87,1,0.89
3190,1,0.692,0.85
3191,1,0.384,0.71
3192,1,0.16,0.58
3193,1,0.067,0.45
3194,1,0.067,0.41
3195,1,0.067,0.39
3196,1,0.067,0.38
3197,1,0.187,0.38
3198,1,0.394,0.43
3199,1,0.44,0.54
3200,0.85,0.393,0.65
3201,0.39,0.172,0.66
3202,0.25,0.119,0.67
3203,0.25,0.119,0.69
3204,0.25,0.119,0.7
3205,0.25,0.119,0.69
3206,0.25,0.119,0.66
3207,0.25,0.119,0.65
3208,0.25,0.206,0.68
3209,0.3,0.439,0.8
3210,0.52,0.616,1
3211,0.87,0.829,1
3212,0.87,0.986,0.93
3213,0.87,1,0.89
3214,1,0.692,0.85
3215,1,0.384,0.71
3216,1,0.16,0.58
3217,1,0.067,0.45
3218,1,0.067,0.41
3219,1,0.067,0.39
3220,1,0.067,0.38
3221,1,0.187,0.38
3222,1,0.394,0.43
3223,1,0.44,0.54
3224,0.85,0.393,0.65
3225,0.39,0.172,0.66
3226,0.25,0.119,0.67
3227,0.25,0.119,0.69
3228,0.25,0.119,0.7
3229,0.25,0.119,0.69
3230,0.25,0.119,0.66
3231,0.25,0.119,0.65
3232,0.25,0.206,0.68
3233,0.3,0.439,0.8
3234,0.52,0.616,1
3235,0.87,0.829,1
3236,0.87,0.986,0.93
3237,0.87,1,0.89
3238,1,0.692,0.85
3239,1,0.384,0.71
3240,1,0.16,0.58
3241,1,0.067,0.45
3242,1,0.067,0.41
3243,1,0.067,0.39
3244,1,0.067,0.38
3245,1,0.187,0.38
3246,1,0.394,0.43
3247,1,0.44,0.54
3248,0.85,0.393,0.65
3249,0.39,0.172,0.66
3250,0.25,0.119,0.67
3251,0.25,0.119,0.69
3252,0.25,0.119,0.7
3253,0.25,0.119,0.69
3254,0.25,0.119,0.66
3255,0.25,0.119,0.65
3256,0.25,0.206,0.68
3257,0.3,0.439,0.8
3258,0.52,0.616,1
3259,0.87,0.829,1
3260,0.87,0.986,0.93
3261,0.87,1,0.89
3262,1,0.692,0.85
3263,1,0.384,0.71
3264,1,0.16,0.58
3265,1,0.067,0.45
3266,1,0.067,0.41
3267,1,0.067,0.39
3268,1,0.067,0.38
3269,1,0.187,0.38
3270,1,0.394,0.43
3271,1,0.44,0.54
3272,0.85,0.393,0.65
3273,0.39,0.172,0.66
3274,0.25,0.119,0.67
3275,0.25,0.119,0.69
3276,0.25,0.119,0.7
3277,0.25,0.119,0.69
3278,0.25,0.119,0.66
3279,0.25,0.119,0.65
3280,0.25,0.206,0.68
3281,0.3,0.439,0.8
3282,0.52,0.616,1
3283,0.87,0.829,1
3284,0.87,0.986,0.93
3285,0.87,1,0.89
3286,1,0.692,0.85
3287,1,0.384,0.71
3288,1,0.16,0.58
3289,1,0.067,0.45
3290,1,0.067,0.41
3291,1,0.067,0.39
3292,1,0.067,0.38
3293,1,0.187,0.38
3294,1,0.394,0.43
3295,1,0.44,0.54
3296,0.85,0.393,0.65
3297,0.39,0.172,0.66
3298,0.25,0.119,0.67
3299,0.25,0.119,0.69
3300,0.25,0.119,0.7
3301,0.25,0.119,0.69
3302,0.25,0.119,0.66
3303,0.25,0.119,0.65
3304,0.25,0.206,0.68
3305,0.3,0.439,0.8
3306,0.52,0.616,1
3307,0.87,0.829,1
3308,0.87,0.986,0.93
3309,0.87,1,0.89
3310,1,0.692,0.85
3311,1,0.384,0.71
3312,1,0.16,0.58
3313,1,0.067,0.45
3314,1,0.067,0.41
3315,1,0.067,0.39
3316,1,0.067,0.38
3317,1,0.187,0.38
3318,1,0.394,0.43
3319,1,0.44,0.54
3320,0.85,0.393,0.65
3321,0.39,0.172,0.66
3322,0.25,0.119,0.67
3323,0.25,0.119,0.69
3324,0.25,0.119,0.7
3325,0.25,0.119,0.69
3326,0.25,0.119,0.66
3327,0.25,0.119,0.65
3328,0.25,0.206,0.68
3329,0.3,0.439,0.8
3330,0.52,0.616,1
3331,0.87,0.829,1
3332,0.87,0.986,0.93
3333,0.87,1,0.89
3334,1,0.692,0.85
3335,1,0.384,0.71
3336,1,0.16,0.58
3337,1,0.067,0.45
3338,1,0.067,0.41
3339,1,0.067,0.39
3340,1,0.067,0.38
3341,1,0.187,0.38
3342,1,0.394,0.43
3343,1,0.44,0.54
3344,0.85,0.393,0.65
3345,0.39,0.172,0.66
3346,0.25,0.119,0.67
3347,0.25,0.119,0.69
3348,0.25,0.119,0.7
3349,0.25,0.119,0.69
3350,0.25,0.119,0.66
3351,0.25,0.119,0.65
3352,0.25,0.206,0.68
3353,0.3,0.439,0.8
3354,0.52,0.616,1
3355,0.87,0.829,1
3356,0.87,0.986,0.93
3357,0.87,1,0.89
3358,1,0.692,0.85
3359,1,0.384,0.71
3360,1,0.16,0.58
3361,1,0.067,0.45
3362,1,0.067,0.41
3363,1,0.067,0.39
3364,1,0.067,0.38
3365,1,0.187,0.38
3366,1,0.394,0.43
3367,1,0.44,0.54
3368,0.85,0.393,0.65
3369,0.39,0.172,0.66
3370,0.25,0.119,0.67
3371,0.25,0.119,0.69
3372,0.25,0.119,0.7
3373,0.25,0.119,0.69
3374,0.25,0.119,0.66
3375,0.25,0.119,0.65
3376,0.25,0.206,0.68
3377,0.3,0.439,0.8
3378,0.52,0.616,1
3379,0.87,0.829,1
3380,0.87,0.986,0.93
3381,0.87,1,0.89
3382,1,0.692,0.85
3383,1,0.384,0.71
3384,1,0.16,0.58
3385,1,0.067,0.45
3386,1,0.067,0.41
3387,1,0.067,0.39
3388,1,0.067,0.38
3389,1,0.187,0.38
3390,1,0.394,0.43
3391,1,0.44,0.54
3392,0.85,0.393,0.65
3393,0.39,0.172,0.66
3394,0.25,0.119,0.67
3395,0.25,0.119,0.69
3396,0.25,0.119,0.7
3397,0.25,0.119,0.69
3398,0.25,0.119,0.66
3399,0.25,0.119,0.65
3400,0.25,0.206,0.68
3401,0.3,0.439,0.8
3402,0.52,0.616,1
3403,0.87,0.829,1
3404,0.87,0.986,0.93
3405,0.87,1,0.89
3406,1,0.692,0.85
3407,1,0.384,0.71
3408,1,0.16,0.58
3409,1,0.067,0.45
3410,1,0.067,0.41
3411,1,0.067,0.39
3412,1,0.067,0.38
3413,1,0.187,0.38
3414,1,0.394,0.43
3415,1,0.44,0.54
3416,0.85,0.393,0.65
3417,0.39,0.172,0.66
3418,0.25,0.119,0.67
3419,0.25,0.119,0.69
3420,0.25,0.119,0.7
3421,0.25,0.119,0.69
3422,0.25,0.119,0.66
3423,0.25,0.119,0.65
3424,0.25,0.206,0.68
3425,0.3,0.439,0.8
3426,0.52,0.616,1
3427,0.87,0.829,1
3428,0.87,0.986,0.93
3429,0.87,1,0.89
3430,1,0.692,0.85
3431,1,0.384,0.71
3432,1,0.16,0.58
3433,1,0.067,0.45
3434,1,0.067,0.41
3435,1,0.067,0.39
3436,1,0.067,0.38
3437,1,0.187,0.38
3438,1,0.394,0.43
3439,1,0.44,0.54
3440,0.85,0.393,0.65
3441,0.39,0.172,0.66
3442,0.25,0.119,0.67
3443,0.25,0.119,0.69
3444,0.25,0.119,0.7
3445,0.25,0.119,0.69
3446,0.25,0.119,0.66
3447,0.25,0.119,0.65
3448,0.25,0.206,0.68
3449,0.3,0.439,0.8
3450,0.52,0.616,1
3451,0.87,0.829,1
3452,0.87,0.986,0.93
3453,0.87,1,0.89
3454,1,0.692,0.85
3455,1,0.384,0.71
3456,1,0.16,0.58
3457,1,0.067,0.45
3458,1,0.067,0.41
3459,1,0.067,0.39
3460,1,0.067,0.38
3461,1,0.187,0.38
3462,1,0.394,0.43
3463,1,0.44,0.54
3464,0.85,0.393,0.65
3465,0.39,0.172,0.66
3466,0.25,0.119,0.67
3467,0.25,0.119,0.69
3468,0.25,0.119,0.7
3469,0.25,0.119,0.69
3470,0.25,0.119,0.66
3471,0.25,0.119,0.65
3472,0.25,0.206,0.68
3473,0.3,0.439,0.8
3474,0.52,0.616,1
3475,0.87,0.829,1
3476,0.87,0.986,0.93
3477,0.87,1,0.89
3478,1,0.692,0.85
3479,1,0.384,0.71
3480,1,0.16,0.58
3481,1,0.067,0.45
3482,1,0.067,0.41
3483,1,0.067,0.39
3484,1,0.067,0.38
3485,1,0.187,0.38
3486,1,0.394,0.43
3487,1,0.44,0.54
3488,0.85,0.393,0.65
3489,0.39,0.172,0.66
3490,0.25,0.119,0.67
3491,0.25,0.119,0.69
3492,0.25,0.119,0.7
3493,0.25,0.119,0.69
3494,0.25,0.119,0.66
3495,0.25,0.119,0.65
3496,0.25,0.206,0.68
3497,0.3,0.439,0.8
3498,0.52,0.616,1
3499,0.87,0.829,1
3500,0.87,0.986,0.93
3501,0.87,1,0.89
3502,1,0.692,0.85
3503,1,0.384,0.71
3504,1,0.16,0.58
3505,1,0.067,0.45
3506,1,0.067,0.41
3507,1,0.067,0.39
3508,1,0.067,0.38
3509,1,0.187,0.38
3510,1,0.394,0.43
3511,1,0.44,0.54
3512,0.85,0.393,0.65
3513,0.39,0.172,0.66
3514,0.25,0.119,0.67
3515,0.25,0.119,0.69
3516,0.25,0.119,0.7
3517,0.25,0.119,0.69
3518,0.25,0.119,0.66
3519,0.25,0.119,0.65
3520,0.25,0.206,0.68
3521,0.3,0.439,0.8
3522,0.52,0.616,1
3523,0.87,0.829,1
3524,0.87,0.986,0.93
3525,0.87,1,0.89
3526,1,0.692,0.85
3527,1,0.384,0.71
3528,1,0.16,0.58
3529,1,0.067,0.45
3530,1,0.067,0.41
3531,1,0.067,0.39
3532,1,0.067,0.38
3533,1,0.187,0.38
3534,1,0.394,0.43
3535,1,0.44,0.54
3536,0.85,0.393,0.65
3537,0.39,0.172,0.66
3538,0.25,0.119,0.67
3539,0.25,0.119,0.69
3540,0.25,0.119,0.7
3541,0.25,0.119,0.69
3542,0.25,0.119,0.66
3543,0.25,0.119,0.65
3544,0.25,0.206,0.68
3545,0.3,0.439,0.8
3546,0.52,0.616,1
3547,0.87,0.829,1
3548,0.87,0.986,0.93
3549,0.87,1,0.89
3550,1,0.692,0.85
3551,1,0.384,0.71
3552,1,0.16,0.58
3553,1,0.067,0.45
3554,1,0.067,0.41
3555,1,0.067,0.39
3556,1,0.067,0.38
3557,1,0.187,0.38
3558,1,0.394,0.43
3559,1,0.44,0.54
3560,0.85,0.393,0.65
3561,0.39,0.172,0.66
3562,0.25,0.119,0.67
3563,0.25,0.119,0.69
3564,0.25,0.119,0.7
3565,0.25,0.119,0.69
3566,0.25,0.119,0.66
3567,0.25,0.119,0.65
3568,0.25,0.206,0.68
3569,0.3,0.439,0.8
3570,0.52,0.616,1
3571,0.87,0.829,1
3572,0.87,0.986,0.93
3573,0.87,1,0.89
3574,1,0.692,0.85
3575,1,0.384,0.71
3576,1,0.16,0.58
3577,1,0.067,0.45
3578,1,0.067,0.41
3579,1,0.067,0.39
3580,1,0.067,0.38
3581,1,0.187,0.38
3582,1,0.394,0.43
3583,1,0.44,0.54
3584,0.85,0.393,0.65
3585,0.39,0.172,0.66
3586,0.25,0.119,0.67
3587,0.25,0.119,0.69
3588,0.25,0.119,0.7
3589,0.25,0.119,0.69
3590,0.25,0.119,0.66
3591,0.25,0.119,0.65
3592,0.25,0.206,0.68
3593,0.3,0.439,0.8
3594,0.52,0.616,1
3595,0.87,0.829,1
3596,0.87,0.986,0.93
3597,0.87,1,0.89
3598,1,0.692,0.85
3599,1,0.384,0.71
3600,1,0.16,0.58
3601,1,0.067,0.45
3602,1,0.067,0.41
3603,1,0.067,0.39
3604,1,0.067,0.38
3605,1,0.187,0.38
3606,1,0.394,0.43
3607,1,0.44,0.54
3608,0.85,0.393,0.65
3609,0.39,0.172,0.66
3610,0.25,0.119,0.67
3611,0.25,0.119,0.69
3612,0.25,0.119,0.7
3613,0.25,0.119,0.69
3614,0.25,0.119,0.66
3615,0.25,0.119,0.65
3616,0.25,0.206,0.68
3617,0.3,0.439,0.8
3618,0.52,0.616,1
3619,0.87,0.829,1
3620,0.87,0.986,0.93
3621,0.87,1,0.89
3622,1,0.692,0.85
3623,1,0.384,0.71
3624,1,0.16,0.58
3625,1,0.067,0.45
3626,1,0.067,0.41
3627,1,0.067,0.39
3628,1,0.067,0.38
3629,1,0.187,0.38
3630,1,0.394,0.43
3631,1,0.44,0.54
3632,0.85,0.393,0.65
3633,0.39,0.172,0.66
3634,0.25,0.119,0.67
3635,0.25,0.119,0.69
3636,0.25,0.119,0.7
3637,0.25,0.119,0.69
3638,0.25,0.119,0.66
3639,0.25,0.119,0.65
3640,0.25,0.206,0.68
3641,0.3,0.439,0.8
3642,0.52,0.616,1
3643,0.87,0.829,1
3644,0.87,0.986,0.93
3645,0.87,1,0.89
3646,1,0.692,0.85
3647,1,0.384,0.71
3648,1,0.16,0.58
3649,1,0.067,0.45
3650,1,0.067,0.41
3651,1,0.067,0.39
3652,1,0.067,0.38
3653,1,0.187,0.38
3654,1,0.394,0.43
3655,1,0.44,0.54
3656,0.85,0.393,0.65
3657,0.39,0.172,0.66
3658,0.25,0.119,0.67
3659,0.25,0.119,0.69
3660,0.25,0.119,0.7
3661,0.25,0.119,0.69
3662,0.25,0.119,0.66
3663,0.25,0.119,0.65
3664,0.25,0.206,0.68
3665,0.3,0.439,0.8
3666,0.52,0.616,1
3667,0.87,0.829,1
3668,0.87,0.986,0.93
3669,0.87,1,0.89
3670,1,0.692,0.85
3671,1,0.384,0.71
3672,1,0.16,0.58
3673,1,0.067,0.45
3674,1,0.067,0.41
3675,1,0.067,0.39
3676,1,0.067,0.38
3677,1,0.187,0.38
3678,1,0.394,0.43
3679,1,0.44,0.54
3680,0.85,0.393,0.65
3681,0.39,0.172,0.66
3682,0.25,0.119,0.67
3683,0.25,0.119,0.69
3684,0.25,0.119,0.7
3685,0.25,0.119,0.69
3686,0.25,0.119,0.66
3687,0.25,0.119,0.65
3688,0.25,0.206,0.68
3689,0.3,0.439,0.8
3690,0.52,0.616,1
3691,0.87,0.829,1
3692,0.87,0.986,0.93
3693,0.87,1,0.89
3694,1,0.692,0.85
3695,1,0.384,0.71
3696,1,0.16,0.58
3697,1,0.067,0.45
3698,1,0.067,0.41
3699,1,0.067,0.39
3700,1,0.067,0.38
3701,1,0.187,0.38
3702,1,0.394,0.43
3703,1,0.44,0.54
3704,0.85,0.393,0.65
3705,0.39,0.172,0.66
3706,0.25,0.119,0.67
3707,0.25,0.119,0.69
3708,0.25,0.119,0.7
3709,0.25,0.119,0.69
3710,0.25,0.119,0.66
3711,0.25,0.119,0.65
3712,0.25,0.206,0.68
3713,0.3,0.439,0.8
3714,0.52,0.616,1
3715,0.87,0.829,1
3716,0.87,0.986,0.93
3717,0.87,1,0.89
3718,1,0.692,0.85
3719,1,0.384,0.71
3720,1,0.16,0.58
3721,1,0.067,0.45
3722,1,0.067,0.41
3723,1,0.067,0.39
3724,1,0.067,0.38
3725,1,0.187,0.38
3726,1,0.394,0.43
3727,1,0.44,0.54
3728,0.85,0.393,0.65
3729,0.39,0.172,0.66
3730,0.25,0.119,0.67
3731,0.25,0.119,0.69
3732,0.25,0.119,0.7
3733,0.25,0.119,0.69
3734,0.25,0.119,0.66
3735,0.25,0.119,0.65
3736,0.25,0.206,0.68
3737,0.3,0.439,0.8
3738,0.52,0.616,1
3739,0.87,0.829,1
3740,0.87,0.986,0.93
3741,0.87,1,0.89
3742,1,0.692,0.85
3743,1,0.384,0.71
3744,1,0.16,0.58
3745,1,0.067,0.45
3746,1,0.067,0.41
3747,1,0.067,0.39
3748,1,0.067,0.38
3749,1,0.187,0.38
3750,1,0.394,0.43
3751,1,0.44,0.54
3752,0.85,0.393,0.65
3753,0.39,0.172,0.66
3754,0.25,0.119,0.67
3755,0.25,0.119,0.69
3756,0.25,0.119,0.7
3757,0.25,0.119,0.69
3758,0.25,0.119,0.66
3759,0.25,0.119,0.65
3760,0.25,0.206,0.68
3761,0.3,0.439,0.8
3762,0.52,0.616,1
3763,0.87,0.829,1
3764,0.87,0.986,0.93
3765,0.87,1,0.89
3766,1,0.692,0.85
3767,1,0.384,0.71
3768,1,0.16,0.58
3769,1,0.067,0.45
3770,1,0.067,0.41
3771,1,0.067,0.39
3772,1,0.067,0.38
3773,1,0.187,0.38
3774,1,0.394,0.43
3775,1,0.44,0.54
3776,0.85,0.393,0.65
3777,0.39,0.172,0.66
3778,0.25,0.119,0.67
3779,0.25,0.119,0.69
3780,0.25,0.119,0.7
3781,0.25,0.119,0.69
3782,0.25,0.119,0.66
3783,0.25,0.119,0.65
3784,0.25,0.206,0.68
3785,0.3,0.439,0.8
3786,0.52,0.616,1
3787,0.87,0.829,1
3788,0.87,0.986,0.93
3789,0.87,1,0.89
3790,1,0.692,0.85
3791,1,0.384,0.71
3792,1,0.16,0.58
3793,1,0.067,0.45
3794,1,0.067,0.41
3795,1,0.067,0.39
3796,1,0.067,0.38
3797,1,0.187,0.38
3798,1,0.394,0.43
3799,1,0.44,0.54
3800,0.85,0.393,0.65
3801,0.39,0.172,0.66
3802,0.25,0.119,0.67
3803,0.25,0.119,0.69
3804,0.25,0.119,0.7
3805,0.25,0.119,0.69
3806,0.25,0.119,0.66
3807,0.25,0.119,0.65
3808,0.25,0.206,0.68
3809,0.3,0.439,0.8
3810,0.52,0.616,1
3811,0.87,0.829,1
3812,0.87,0.986,0.93
3813,0.87,1,0.89
3814,1,0.692,0.85
3815,1,0.384,0.71
3816,1,0.16,0.58
3817,1,0.067,0.45
3818,1,0.067,0.41
3819,1,0.067,0.39
3820,1,0.067,0.38
3821,1,0.187,0.38
3822,1,0.394,0.43
3823,1,0.44,0.54
3824,0.85,0.393,0.65
3825,0.39,0.172,0.66
3826,0.25,0.119,0.67
3827,0.25,0.119,0.69
3828,0.25,0.119,0.7
3829,0.25,0.119,0.69
3830,0.25,0.119,0.66
3831,0.25,0.119,0.65
3832,0.25,0.206,0.68
3833,0.3,0.439,0.8
3834,0.52,0.616,1
3835,0.87,0.829,1
3836,0.87,0.986,0.93
3837,0.87,1,0.89
3838,1,0.692,0.85
3839,1,0.384,0.71
3840,1,0.16,0.58
3841,1,0.067,0.45
3842,1,0.067,0.41
3843,1,0.067,0.39
3844,1,0.067,0.38
3845,1,0.187,0.38
3846,1,0.394,0.43
3847,1,0.44,0.54
3848,0.85,0.393,0.65
3849,0.39,0.172,0.66
3850,0.25,0.119,0.67
3851,0.25,0.119,0.69
3852,0.25,0.119,0.7
3853,0.25,0.119,0.69
3854,0.25,0.119,0.66
3855,0.25,0.119,0.65
3856,0.25,0.206,0.68
3857,0.3,0.439,0.8
3858,0.52,0.616,1
3859,0.87,0.829,1
3860,0.87,0.986,0.93
3861,0.87,1,0.89
3862,1,0.692,0.85
3863,1,0.384,0.71
3864,1,0.16,0.58
3865,1,0.067,0.45
3866,1,0.067,0.41
3867,1,0.067,0.39
3868,1,0.067,0.38
3869,1,0.187,0.38
3870,1,0.394,0.43
3871,1,0.44,0.54
3872,0.85,0.393,0.65
3873,0.39,0.172,0.66
3874,0.25,0.119,0.67
3875,0.25,0.119,0.69
3876,0.25,0.119,0.7
3877,0.25,0.119,0.69
3878,0.25,0.119,0.66
3879,0.25,0.119,0.65
3880,0.25,0.206,0.68
3881,0.3,0.439,0.8
3882,0.52,0.616,1
3883,0.87,0.829,1
3884,0.87,0.986,0.93
3885,0.87,1,0.89
3886,1,0.692,0.85
3887,1,0.384,0.71
3888,1,0.16,0.58
3889,1,0.067,0.45
3890,1,0.067,0.41
3891,1,0.067,0.39
3892,1,0.067,0.38
3893,1,0.187,0.38
3894,1,0.394,0.43
3895,1,0.44,0.54
3896,0.85,0.393,0.65
3897,0.39,0.172,0.66
3898,0.25,0.119,0.67
3899,0.25,0.119,0.69
3900,0.25,0.119,0.7
3901,0.25,0.119,0.69
3902,0.25,0.119,0.66
3903,0.25,0.119,0.65
3904,0.25,0.206,0.68
3905,0.3,0.439,0.8
3906,0.52,0.616,1
3907,0.87,0.829,1
3908,0.87,0.986,0.93
3909,0.87,1,0.89
3910,1,0.692,0.85
3911,1,0.384,0.71
3912,1,0.16,0.58
3913,1,0.067,0.45
3914,1,0.067,0.41
3915,1,0.067,0.39
3916,1,0.067,0.38
3917,1,0.187,0.38
3918,1,0.394,0.43
3919,1,0.44,0.54
3920,0.85,0.393,0.65
3921,0.39,0.172,0.66
3922,0.25,0.119,0.67
3923,0.25,0.119,0.69
3924,0.25,0.119,0.7
3925,0.25,0.119,0.69
3926,0.25,0.119,0.66
3927,0.25,0.119,0.65
3928,0.25,0.206,0.68
3929,0.3,0.439,0.8
3930,0.52,0.616,1
3931,0.87,0.829,1
3932,0.87,0.986,0.93
3933,0.87,1,0.89
3934,1,0.692,0.85
3935,1,0.384,0.71
3936,1,0.16,0.58
3937,1,0.067,0.45
3938,1,0.067,0.41
3939,1,0.067,0.39
3940,1,0.067,0.38
3941,1,0.187,0.38
3942,1,0.394,0.43
3943,1,0.44,0.54
3944,0.85,0.393,0.65
3945,0.39,0.172,0.66
3946,0.25,0.119,0.67
3947,0.25,0.119,0.69
3948,0.25,0.119,0.7
3949,0.25,0.119,0.69
3950,0.25,0.119,0.66
3951,0.25,0.119,0.65
3952,0.25,0.206,0.68
3953,0.3,0.439,0.8
3954,0.52,0.616,1
3955,0.87,0.829,1
3956,0.87,0.986,0.93
3957,0.87,1,0.89
3958,1,0.692,0.85
3959,1,0.384,0.71
3960,1,0.16,0.58
3961,1,0.067,0.45
3962,1,0.067,0.41
3963,1,0.067,0.39
3964,1,0.067,0.38
3965,1,0.187,0.38
3966,1,0.394,0.43
3967,1,0.44,0.54
3968,0.85,0.393,0.65
3969,0.39,0.172,0.66
3970,0.25,0.119,0.67
3971,0.25,0.119,0.69
3972,0.25,0.119,0.7
3973,0.25,0.119,0.69
3974,0.25,0.119,0.66
3975,0.25,0.119,0.65
3976,0.25,0.206,0.68
3977,0.3,0.439,0.8
3978,0.52,0.616,1
3979,0.87,0.829,1
3980,0.87,0.986,0.93
3981,0.87,1,0.89
3982,1,0.692,0.85
3983,1,0.384,0.71
3984,1,0.16,0.58
3985,1,0.067,0.45
3986,1,0.067,0.41
3987,1,0.067,0.39
3988,1,0.067,0.38
3989,1,0.187,0.38
3990,1,0.394,0.43
3991,1,0.44,0.54
3992,0.85,0.393,0.65
3993,0.39,0.172,0.66
3994,0.25,0.119,0.67
3995,0.25,0.119,0.69
3996,0.25,0.119,0.7
3997,0.25,0.119,0.69
3998,0.25,0.119,0.66
3999,0.25,0.119,0.65
4000,0.25,0.206,0.68
4001,0.3,0.439,0.8
4002,0.52,0.616,1
4003,0.87,0.829,1
4004,0.87,0.986,0.93
4005,0.87,1,0.89
4006,1,0.692,0.85
4007,1,0.384,0.71
4008,1,0.16,0.58
4009,1,0.067,0.45
4010,1,0.067,0.41
4011,1,0.067,0.39
4012,1,0.067,0.38
4013,1,0.187,0.38
4014,1,0.394,0.43
4015,1,0.44,0.54
4016,0.85,0.393,0.65
4017,0.39,0.172,0.66
4018,0.25,0.119,0.67
4019,0.25,0.119,0.69
4020,0.25,0.119,0.7
4021,0.25,0.119,0.69
4022,0.25,0.119,0.66
4023,0.25,0.119,0.65
4024,0.25,0.206,0.68
4025,0.3,0.439,0.8
4026,0.52,0.616,1
4027,0.87,0.829,1
4028,0.87,0.986,0.93
4029,0.87,1,0.89
4030,1,0.692,0.85
4031,1,0.384,0.71
4032,1,0.16,0.58
4033,1,0.067,0.45
4034,1,0.067,0.41
4035,1,0.067,0.39
4036,1,0.067,0.38
4037,1,0.187,0.38
4038,1,0.394,0.43
4039,1,0.44,0.54
4040,0.85,0.393,0.65
4041,0.39,0.172,0.66
4042,0.25,0.119,0.67
4043,0.25,0.119,0.69
4044,0.25,0.119,0.7
4045,0.25,0.119,0.69
4046,0.25,0.119,0.66
4047,0.25,0.119,0.65
4048,0.25,0.206,0.68
4049,0.3,0.439,0.8
4050,0.52,0.616,1
4051,0.87,0.829,1
4052,0.87,0.986,0.93
4053,0.87,1,0.89
4054,1,0.692,0.85
4055,1,0.384,0.71
4056,1,0.16,0.58
4057,1,0.067,0.45
4058,1,0.067,0.41
4059,1,0.067,0.39
4060,1,0.067,0.38
4061,1,0.187,0.38
4062,1,0.394,0.43
4063,1,0.44,0.54
4064,0.85,0.393,0.65
4065,0.39,0.172,0.66
4066,0.25,0.119,0.67
4067,0.25,0.119,0.69
